"Nome da campanha","Status de veiculação","Nível de veiculação","Tipo de resultado",Resultados,"Custo por resultado","Valor usado (EUR)",Impressões,Alcance,"CPC (custo por clique no link)","CPM (custo por 1.000 impressões)","Configuração de atribuição","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão","Nome do conjunto de anúncios","Início dos relatórios","Término dos relatórios"
"Publicação do Instagram: #AGORA É A HORA ✨☘️⏰...",archived,campaign,"Cliques no link",2396,0.20406511,488.94,317696,179961,0.20406511,1.53901843,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Anúncio de Mensagens: Oieee! ✨☘️🇮🇪",inactive,campaign,,,,426.88,220664,131951,0.51369434,1.93452489,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"PROMOCAO LIMITADA VISITA",inactive,campaign,"Visitas ao perfil do Instagram",4625,0.04459459,206.25,206496,123288,0.04500327,0.99880869,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"[29/4/2025] Promovendo """"",inactive,campaign,,,,203.2,82755,35137,0.24018913,2.45544076,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"PACOTE NOMAD",inactive,campaign,,,,168.87,69780,25016,0.270625,2.42003439,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Reels nomad mensagem",inactive,campaign,,,,163.23,90619,44540,0.14574107,1.80127788,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: #AGORA É A HORA ✨☘️⏰...",inactive,campaign,"Cliques no link",1037,0.14039537,145.59,105321,71795,0.14039537,1.3823454,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"NOMAD visita",inactive,campaign,"Visitas ao perfil do Instagram",2750,0.05113455,140.62,189903,125597,0.05126504,0.7404833,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Fazer o seu intercâmbio... — Cópia",inactive,campaign,"Cliques no link",3459,0.03973114,137.43,150404,70827,0.03973114,0.913739,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"VIDEO ACOMOD. FIXA",inactive,campaign,"Visitas ao perfil do Instagram",2724,0.04874449,132.78,185192,125262,0.05225502,0.71698561,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"PROMOCAO LIMITADA VISITA — Cópia",inactive,campaign,"Visitas ao perfil do Instagram",1951,0.06155305,120.09,46423,37159,0.05458636,2.58686427,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"NOMAD visita — Cópia",inactive,campaign,"Visitas ao perfil do Instagram",2269,0.04799912,108.91,63591,51541,0.04833999,1.71266374,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"CAMPANHA VISITA PERFIL",inactive,campaign,"Visitas ao perfil do Instagram",1850,0.05319459,98.41,180802,128393,0.05559887,0.54429708,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Fazer o seu intercâmbio...",inactive,campaign,"Cliques no link",1285,0.0699144,89.84,55176,31793,0.0699144,1.62824416,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Já pensou em viver todas...",inactive,campaign,"Cliques no link",1272,0.07055818,89.75,66828,44180,0.07055818,1.34299994,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Fazer o seu intercâmbio...",inactive,campaign,"Cliques no link",1269,0.07070134,89.72,61471,36951,0.07070134,1.45955003,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Já pensou em viver todas...",inactive,campaign,"Cliques no link",1271,0.07056648,89.69,64544,42522,0.07056648,1.3895947,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Camp MSG Ago INSTA",inactive,campaign,,,,85.51,43013,33957,0.2090709,1.98800363,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Post do Instagram: Eu sei que por aí você anda...",inactive,campaign,"Cliques no link",578,0.14491349,83.76,42191,31558,0.14491349,1.98525752,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: BENEFÍCIOS ✨✨💛

Somos a...",inactive,campaign,"Cliques no link",988,0.0762753,75.36,58263,41386,0.0762753,1.29344524,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Camp ago 2025 msg",inactive,campaign,"Cliques no link",2103,0.03557775,74.82,58190,40797,0.03557775,1.28578794,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Que tal um #suporte...",inactive,campaign,,,,71.34,30468,14390,0.53238806,2.34147302,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação: ""Oieee! ✨☘️🇮🇪""",inactive,campaign,,,,68.01,29094,14836,0.28696203,2.33759538,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"[29/4/2025] Promovendo """"",inactive,campaign,,,,60.22,23449,10812,0.26646018,2.56812657,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação: ""Oieee! ✨☘️🇮🇪""",inactive,campaign,ThruPlay,24157,0.00248334,59.99,106965,95401,0.33892655,0.56083766,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação: ""Oieee! ✨☘️🇮🇪""",inactive,campaign,,,,59.99,23147,11472,0.21735507,2.59169655,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação: ""Oieee! ✨☘️🇮🇪""",inactive,campaign,,,,59.99,22419,9179,0.20198653,2.6758553,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Fazer o seu intercâmbio...",inactive,campaign,"Cliques no link",963,0.06207684,59.78,41839,24995,0.06207684,1.42881044,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Fazer o seu intercâmbio...",inactive,campaign,"Cliques no link",846,0.07059102,59.72,36212,20531,0.07059102,1.64917707,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Já pensou em viver todas...",inactive,campaign,"Cliques no link",981,0.06066259,59.51,49229,27660,0.06066259,1.20884032,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Já pensou em viver todas...",inactive,campaign,"Cliques no link",995,0.05942714,59.13,50995,31988,0.05942714,1.15952544,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Já pensou em viver todas...",inactive,campaign,"Cliques no link",929,0.06353068,59.02,52831,33376,0.06353068,1.11714713,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Anúncio de Mensagens: SURPRESA NO FINAL DO VÍDEO 🫵😳 Imagina você...",inactive,campaign,,,,56.27,25811,14984,0.17367284,2.18007826,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"VISITA NO PERFIL - NOMAD",inactive,campaign,"Visitas ao perfil do Instagram",563,0.0837833,47.17,46441,33016,0.08423214,1.01569734,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: De todos os benefícios,...",archived,campaign,,,,45.83,20400,15075,0.50362637,2.24656863,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Post do Instagram: TEM VÍDEO NOVO NO CANAL ✨🙏...",inactive,campaign,"Cliques no link",357,0.12610644,45.02,16732,14192,0.12610644,2.69065264,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"[24/4/2025] Promovendo """"",inactive,campaign,,,,44.4,22758,11395,0.22311558,1.9509623,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"NOMAD visita — Cópia",inactive,campaign,"Visitas ao perfil do Instagram",916,0.04146288,37.98,30884,25971,0.04243575,1.22976298,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"VISITA PERFIL NOMAD",inactive,campaign,,,,37.47,22230,11983,0.17031818,1.68556005,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Camp agosto mensagem",inactive,campaign,,,,35.65,25994,21582,0.1650463,1.37147034,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Campanha mensagens",inactive,campaign,,,,30.69,11452,6205,0.14408451,2.67988124,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Post do Instagram: Eu sei que por aí você anda...",inactive,campaign,"Cliques no link",199,0.14301508,28.46,13754,12144,0.14301508,2.06921623,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: O vídeo de hoje é...",inactive,campaign,,,,27.33,18812,10750,0.26278846,1.45279609,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"NOMAD visita — Cópia — Cópia",inactive,campaign,"Visitas ao perfil e à Página",559,0.04887299,27.32,31505,27342,0.05609856,0.86716394,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Anúncio de Mensagens: PROMOÇÃO LIMITADA ⚠️✨ Você consegue hoje vir...",inactive,campaign,,,,24.82,12337,7335,0.46830189,2.01183432,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Já pensou em viver todas...",inactive,campaign,"Cliques no link",290,0.07503448,21.76,15449,11383,0.07503448,1.4085054,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Anúncio de Mensagens: SURPRESA NO FINAL DO VÍDEO 🫵😳 Imagina você... — Cópia — Cópia",inactive,campaign,,,,20.35,6665,4891,0.22865169,3.05326332,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Você grita: “Black” e...",inactive,campaign,"Cliques no link",145,0.09324138,13.52,11604,8286,0.09324138,1.16511548,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: 🌍✈️ Estude inglês em...",inactive,campaign,,,,10.81,4076,2525,0.60055556,2.65210991,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Uma pausa rápida no...",inactive,campaign,,,,10.36,3226,2395,0.94181818,3.21140732,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Oieee! ✨☘️🇮🇪

Já pensou...",inactive,campaign,"Cliques no link",145,0.05406897,7.84,15151,14944,0.05406897,0.51745759,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: BENEFÍCIOS ✨✨💛

Somos a...",inactive,campaign,"Cliques no link",69,0.05,3.45,8661,8414,0.05,0.39833737,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Publicação do Instagram: Fazer o seu intercâmbio...",inactive,campaign,"Cliques no link",57,0.04912281,2.8,1825,1702,0.04912281,1.53424658,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"Anúncio de Mensagens: BENEFÍCIOS ✨✨💛",inactive,campaign,,,,2.19,2781,2612,0.07064516,0.78748652,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
"[22/2/2025] Promovendo """"",inactive,campaign,,,,0.7,391,384,0.35,1.79028133,"Clique de 7 dias ou visualização de 1 dia",–,–,–,,2024-03-05,2026-01-14
